Year,Gruppierung,Value
2017,Hauptschulabschluss nach Klasse Neun,4.9
2017,Hauptschulabschluss nach Klasse Zehn,13.4
2017,Fachoberschulreife,35.1
2017,Fachhochschulreife,2.8
2017,Allgemeine Hochschulreife,37.3
2018,Hauptschulabschluss nach Klasse Neun,5.2
2018,Hauptschulabschluss nach Klasse Zehn,12.8
2018,Fachoberschulreife,35.0
2018,Fachhochschulreife,2.2
2018,Allgemeine Hochschulreife,35.7
2019,Hauptschulabschluss nach Klasse Neun,5.5
2019,Hauptschulabschluss nach Klasse Zehn,11.9
2019,Fachoberschulreife,36.5
2019,Fachhochschulreife,2.9
2019,Allgemeine Hochschulreife,33.2
2020,Hauptschulabschluss nach Klasse Neun,5.3
2020,Hauptschulabschluss nach Klasse Zehn,12.5
2020,Fachoberschulreife,36.8
2020,Fachhochschulreife,3.0
2020,Allgemeine Hochschulreife,33.8
2021,Hauptschulabschluss nach Klasse Neun,3.9
2021,Hauptschulabschluss nach Klasse Zehn,11.7
2021,Fachoberschulreife,36.6
2021,Fachhochschulreife,3.5
2021,Allgemeine Hochschulreife,36.9
2022,Hauptschulabschluss nach Klasse Neun,4.1
2022,Hauptschulabschluss nach Klasse Zehn,11.5
2022,Fachoberschulreife,37.1
2022,Fachhochschulreife,2.5
2022,Allgemeine Hochschulreife,34.6
2023,Hauptschulabschluss nach Klasse Neun,4.1
2023,Hauptschulabschluss nach Klasse Zehn,13.1
2023,Fachoberschulreife,33.9
2023,Fachhochschulreife,3.8
2023,Allgemeine Hochschulreife,32.5
2024,Hauptschulabschluss nach Klasse Neun,7.4
2024,Hauptschulabschluss nach Klasse Zehn,11.6
2024,Fachoberschulreife,35.7
2024,Fachhochschulreife,3.5
2024,Allgemeine Hochschulreife,33.8
