Year,Gruppierung,Value
2014,SGB II,10.6
2014,SGB III,2.7
2014,Insgesamt,13.4
2015,SGB II,10.8
2015,SGB III,2.5
2015,Insgesamt,13.2
2016,SGB II,10.4
2016,SGB III,2.5
2016,Insgesamt,12.8
2017,SGB II,9.4
2017,SGB III,2.7
2017,Insgesamt,12.1
2018,SGB II,8.6
2018,SGB III,2.4
2018,Insgesamt,10.9
2019,SGB II,8.0
2019,SGB III,2.4
2019,Insgesamt,10.3
2020,SGB II,8.7
2020,SGB III,2.9
2020,Insgesamt,11.6
2021,SGB II,8.8
2021,SGB III,2.7
2021,Insgesamt,11.4
2022,SGB II,8.5
2022,SGB III,2.2
2022,Insgesamt,10.7
2023,SGB II,8.6
2023,SGB III,2.4
2023,Insgesamt,11.0
2024,SGB II,8.9
2024,SGB III,2.6
2024,Insgesamt,11.6
