Year,Gruppierung,Value
2014,Photovoltaik,6.41
2014,Biomasse,21.17
2014,Grubengas,21.55
2015,Photovoltaik,6.51
2015,Biomasse,21.17
2015,Grubengas,21.55
2016,Photovoltaik,6.84
2016,Biomasse,21.17
2016,Grubengas,21.55
2017,Photovoltaik,7.03
2017,Biomasse,21.17
2017,Grubengas,21.55
2018,Photovoltaik,7.34
2018,Biomasse,21.17
2018,Grubengas,21.55
2019,Photovoltaik,8.13
2019,Biomasse,21.17
2019,Grubengas,21.55
2020,Photovoltaik,9.59
2020,Biomasse,21.17
2020,Grubengas,21.55
2021,Photovoltaik,12.49
2021,Biomasse,21.17
2021,Grubengas,21.55
2022,Photovoltaik,14.68
2022,Biomasse,21.17
2022,Grubengas,21.55
2023,Photovoltaik,18.76
2023,Biomasse,21.17
2023,Grubengas,21.55
