Year,Gruppierung,Value
2017,Normalladesäule,4
2017,Schnellladesäule,2
2017,Gesamt,6
2018,Normalladesäule,18
2018,Schnellladesäule,4
2018,Gesamt,22
2019,Normalladesäule,38
2019,Schnellladesäule,4
2019,Gesamt,42
2020,Normalladesäule,63
2020,Schnellladesäule,6
2020,Gesamt,69
2021,Normalladesäule,78
2021,Schnellladesäule,9
2021,Gesamt,87
2022,Normalladesäule,83
2022,Schnellladesäule,9
2022,Gesamt,92
2023,Normalladesäule,95
2023,Schnellladesäule,39
2023,Gesamt,134
2024,Normalladesäule,97
2024,Schnellladesäule,45
2024,Gesamt,142
2025,Normalladesäule,97
2025,Schnellladesäule,53
2025,Gesamt,150
